2: 0ms
3: 0ms
4: 0ms
5: 1ms
6: 1ms
7: 0ms
8: 1ms
9: 3ms
10: 4ms
11: 4ms
12: 2ms
13: 3ms
14: 2ms
15: 3ms
16: 2ms
17: 21ms
18: 22ms
19: 19ms
20: 13ms
21: 16ms
22: 13ms
23: 12ms
24: 19ms
25: 21ms
26: 16ms
27: 17ms
28: 16ms
29: 18ms
30: 16ms
31: 16ms
32: 23ms
33: 123ms
34: 122ms
35: 121ms
36: 126ms
37: 119ms
38: 108ms
39: 113ms
40: 111ms
41: 110ms
42: 112ms
43: 121ms
44: 106ms
45: 100ms
46: 100ms
47: 99ms
48: 102ms
49: 102ms
50: 101ms
51: 99ms
52: 100ms
53: 100ms
54: 103ms
55: 109ms
56: 105ms
57: 102ms
58: 106ms
59: 114ms
60: 110ms
61: 102ms
62: 130ms
63: 105ms
64: 109ms
65: 830ms
66: 804ms
67: 807ms
68: 809ms
69: 816ms
70: 803ms
71: 807ms
72: 845ms
73: 822ms
74: 816ms
75: 824ms
76: 837ms
77: 823ms
78: 892ms
79: 816ms
80: 853ms
81: 832ms
82: 834ms
83: 992ms
84: 1193ms
85: 912ms
86: 866ms
87: 862ms
88: 960ms
89: 1019ms
90: 809ms
91: 820ms
92: 808ms
93: 805ms
94: 829ms
95: 814ms
96: 810ms
97: 809ms
98: 801ms
99: 801ms
100: 806ms
101: 803ms
102: 813ms
103: 805ms
104: 804ms
105: 807ms
106: 818ms
107: 882ms
108: 1218ms
109: 1120ms
110: 822ms
111: 869ms
112: 816ms
113: 814ms
114: 808ms
115: 891ms
116: 857ms
117: 869ms
118: 855ms
119: 990ms
120: 967ms
121: 1053ms
122: 960ms
123: 1157ms
124: 1267ms
125: 1004ms
126: 911ms
127: 813ms
128: 865ms
129: 7846ms
130: 6579ms
131: 6406ms
132: 6499ms
133: 6481ms
134: 6487ms
135: 6455ms
136: 6645ms
137: 6749ms
138: 6992ms
139: 6607ms
140: 6580ms
141: 6556ms
142: 6545ms
143: 6549ms
144: 6697ms
145: 6754ms
146: 6774ms
147: 6717ms
148: 6752ms
149: 6752ms
150: 6746ms
151: 6770ms
152: 6633ms
153: 6719ms
154: 6700ms
155: 6751ms
156: 6760ms
157: 6692ms
158: 6782ms
159: 6708ms
160: 6693ms
161: 6680ms
162: 6703ms
163: 6683ms
164: 6710ms
165: 6731ms
166: 6713ms
167: 6729ms
168: 6879ms
169: 6691ms
170: 6725ms
171: 6727ms
172: 6714ms
173: 6647ms
174: 6765ms
175: 6689ms
176: 6649ms
177: 6696ms
178: 6629ms
179: 6938ms
180: 6710ms
181: 6717ms
182: 6718ms
183: 6622ms
184: 6685ms
185: 6673ms
186: 6705ms
187: 6715ms
188: 6705ms
189: 6727ms
190: 6734ms
191: 6712ms
192: 6668ms
193: 6742ms
194: 6810ms
195: 6637ms
196: 6739ms
197: 6699ms
198: 6670ms
199: 6645ms
200: 6685ms
201: 6736ms
202: 6759ms
203: 6567ms
204: 6588ms
205: 6600ms
206: 6571ms
207: 6565ms
208: 6575ms
209: 6514ms
210: 6577ms
211: 7106ms
212: 6812ms
213: 6755ms
214: 6656ms
215: 6684ms
216: 6736ms
217: 6679ms
218: 6691ms
219: 6731ms
220: 6708ms
221: 6721ms
222: 6701ms
223: 6731ms
224: 6708ms
225: 6686ms
226: 6813ms
227: 6714ms
228: 6719ms
229: 6690ms
230: 6717ms
231: 6692ms
232: 6700ms
233: 6677ms
234: 6715ms
235: 6735ms
236: 6694ms
237: 6764ms
238: 6700ms
239: 6707ms
240: 6676ms
241: 6693ms
242: 6706ms
243: 6708ms
244: 6735ms
245: 6705ms
246: 6607ms
247: 6718ms
248: 6716ms
249: 6701ms
250: 6754ms
251: 6703ms
252: 6799ms
253: 6719ms
254: 6723ms
255: 6733ms
256: 6674ms
257: 53598ms
258: 53498ms
259: 53501ms
260: 53504ms
261: 53606ms
262: 54434ms
263: 54950ms
264: 54102ms
265: 56425ms
266: 53743ms
267: 52938ms
268: 53258ms
269: 54128ms
270: 53721ms
271: 53963ms
272: 53565ms
273: 54325ms
274: 53425ms
275: 53362ms
276: 53392ms
277: 53474ms
278: 53476ms
279: 53475ms
280: 53453ms
281: 53594ms
282: 53626ms
283: 53711ms
284: 54597ms
285: 53274ms
286: 53867ms
287: 55243ms
288: 53020ms
289: 52683ms
290: 52089ms
291: 51422ms
292: 49850ms
293: 47692ms
294: 46953ms
295: 46763ms
296: 48126ms
297: 47041ms
298: 50999ms
299: 47277ms
300: 47766ms
301: 51113ms
302: 52341ms
303: 49928ms
304: 46911ms
305: 49505ms
306: 49759ms
